7	87	75	0
15	82	91	0
51	96	73	1
117	91	72	1
144	97	93	0
156	87	88	0
178	94	77	0
189	87	73	1
193	49	81	0
196	95	94	0
198	97	74	1
215	88	89	0
240	63	30	0
335	87	79	0
350	82	76	1
361	90	95	0
368	82	74	1
405	92	75	1
441	94	71	1
442	82	77	1
448	89	88	0
451	95	85	0
451	88	81	0
459	95	87	0
492	91	81	0
510	96	86	0
550	80	80	1
551	80	80	1
552	80	80	1
552	80	80	1
598	89	75	0
604	90	72	1
620	92	82	0
640	94	78	1
645	91	16	0
702	97	70	1
718	83	92	0
730	83	84	0
850	88	71	1
889	81	77	1
902	97	80	0
914	99	79	0
936	101	79	1
989	83	79	0
992	81	89	0
999	99	111	0
1005	91	74	0
1015	88	72	1
1031	96	80	0
1045	98	78	0
1081	91	92	0
1097	96	85	0
1133	63	14	0
1138	90	16	1
1140	97	85	0
1151	99	91	0
1166	81	88	0
1173	90	82	0
1181	78	74	1
1210	82	75	1
1326	92	72	1
1340	91	78	1
1341	97	77	0
1386	98	75	1
1402	96	71	1
1418	84	73	1
1442	86	73	1
1492	101	27	0
1496	81	78	1
1530	95	91	0
1621	91	95	0
1639	94	75	0
1647	91	30	0
1653	87	94	0
1663	38	109	0
1684	99	82	0
1727	91	71	0
1737	93	93	0
1748	88	79	0
1777	86	88	0
1844	91	76	0
1855	50	66	0
1999	98	74	1
2007	82	82	0
2024	93	91	0
2034	99	88	0
2075	90	70	1
2076	90	70	1
2089	84	93	0
2109	89	71	1
2155	93	92	0
2163	87	92	0
2242	85	73	1
2248	91	81	0
2277	89	76	0
2286	92	91	0
2392	100	77	1
2485	90	6	1
2545	93	74	0
2555	91	77	1
2620	14	96	0
2668	86	94	0
2725	81	90	0
2728	99	76	1
2754	90	66	1
2762	86	76	0
2817	93	84	0
2836	79	83	1
2837	79	83	1
2837	79	83	1
2897	80	79	1
2898	80	79	1
2899	80	79	1
2924	90	89	0
2932	87	73	1
2933	87	73	1
2977	88	93	0
2978	86	81	0
2987	85	76	1
3014	100	71	1
3075	93	79	1
3081	90	72	1
3085	90	82	0
3108	90	75	0
3163	86	72	1
3182	85	94	0
3222	86	78	0
3255	77	80	1
3256	77	80	1
3266	88	79	0
3271	95	73	1
3315	81	88	0
3381	81	78	1
3387	83	75	1
3392	101	87	0
3404	87	72	1
3421	90	35	1
3440	96	81	1
3445	91	78	1
3490	68	102	0
3505	102	79	1
3576	100	73	1
3590	88	64	1
3612	84	74	1
3669	83	86	0
3694	95	86	0
3710	100	89	0
3738	82	82	0
3740	97	74	1
3763	82	76	1
3774	83	92	0
3782	1	72	0
3826	102	78	1
3834	91	82	0
3835	31	77	0
3891	88	76	0
3902	83	81	0
3931	92	93	0
3931	82	87	0
3935	96	77	0
4007	103	84	0
4021	96	73	1
4033	21	108	0
4048	94	72	1
4124	90	94	0
4152	85	85	0
4212	91	13	0
4271	87	89	0
4291	85	93	0
4296	89	91	0
4299	95	78	0
4309	85	87	0
4454	83	80	0
4518	86	92	1
4586	85	74	1
4588	93	76	1
4591	90	10	1
4593	93	87	0
4626	80	80	1
4627	80	80	1
4628	80	80	1
4650	88	86	0
4708	86	85	0
4773	81	88	0
4859	86	73	1
4868	90	13	1
4911	78	76	1
4953	99	90	0
4977	101	88	0
4993	98	92	0
5027	90	4	1
5074	84	69	1
5094	98	81	0
5150	102	82	1
5151	102	82	1
5159	81	74	1
5164	89	72	1
5197	90	91	0
5198	89	94	0
5208	82	91	0
5221	83	82	0
5264	76	79	1
5312	86	94	0
5323	87	73	1
5385	85	89	0
5387	89	80	0
5394	86	90	0
5404	87	81	0
5517	95	94	0
5539	94	73	1
